source_id,source_name,source_url,data_type,conversation_count,utterance_count,has_transcript,usage,status,notes
S001,경찰청 피싱안심SOS - 수사기관 사칭 피싱 시나리오,https://www.counterscam112.go.kr/bbs009/board/boardDetail.do?pageIndex=2&pageUnit=6&searchCtgryCd=006&pstSn=257&hashTag=&searchCondition=1&searchKeyword=,phishing,1,5,false,,,경찰청 제공 수사기관 사칭 피싱 시나리오. 실제 피해 통화 원문 transcript 아님. 단일 화자 5발화.
S002,경찰청 피싱안심SOS - 관공서 사칭 피싱 시나리오,https://www.counterscam112.go.kr/bbs009/board/boardDetail.do?pageIndex=2&pageUnit=6&searchCtgryCd=006&pstSn=258&hashTag=&searchCondition=1&searchKeyword=,phishing,1,3,false,,,경찰청 제공 관공서 사칭 피싱 시나리오. 실제 피해 통화 원문 transcript 아님. speaker_A/speaker_B가 포함된 3발화.
S003,경찰청 피싱안심SOS - 카드사 사칭 피싱 시나리오,https://www.counterscam112.go.kr/bbs009/board/boardDetail.do?pageIndex=1&pageUnit=6&searchCtgryCd=006&pstSn=260&hashTag=&searchCondition=1&searchKeyword=,phishing,2,9,false,,,경찰청 제공 카드사 사칭 피싱 시나리오. 실제 피해 통화 원문 transcript 아님. 카드 배송기사 통화(P0003)와 카드 사고예방팀 통화(P0004)를 별도 conversation으로 분리.
S004,AI Hub - 상담 음성,https://www.aihub.or.kr/aihubdata/data/view.do?dataSetSn=100,normal,1,36,true,,,"AI Hub 상담 음성 샘플 데이터. N0001은 원본 conversation S00007822에서 변환. 교육 도메인 정상 상담, 2인 대화, 36발화. 가상 시나리오 기반 녹취/전사 데이터이며 실제 고객 통화 원문은 아님."
S005,금융감독원 - 그놈목소리(금융범죄수사중입니다. 사건내용을 유출할 경우 처벌받을수있습니다),https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36745&menuNo=200691&pageIndex=1,phishing,1,9,,,,
S006,금융감독원 - 그놈목소리(KB저축은행입니다. 핸드폰 어떤거 사용하세요?),https://www.fss.or.kr/fss/bbs/B0000206/view.do?nttId=36744&menuNo=200690&pageIndex=1,phishing,1,20,,,,
S007,금융감독원 - 그놈목소리(본인과 연루된 불법 명의도용사건이 검찰에 접수되어 연락드렸습니다.),https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36740&menuNo=200691&pageIndex=1,phishing,1,36,,,,
S008,금융감독원 - 그놈목소리(다음주에 재판이 열립니다. 재판증거자료를 위해 통화를 녹취하겠습니다.),https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36739&menuNo=200691&pageIndex=1,phishing,1,,,,,
S009,"경찰청 - 갈수록 진짜 같은 전화금융사기, 가스라이팅의 덫",https://www.police.go.kr/user/bbs/BD_selectBbs.do?q_bbsCode=1002&q_bbscttSn=20250121142903606,phishing,16,294,true,8월 4주차 학습 데이터,확보 완료,경찰청 공식 HWPX의 기관사칭형·대환대출형 시나리오 대화문 사용. 기존 P0003/P0004와 겹치는 카드 배송원/카드사 고객센터 사칭 구간 제외.
S010,AIHUB(train_D60 / J91 / S00007727),https://www.aihub.or.kr/aihubdata/data/view.do?dataSetSn=100,normal,1,46,true,8월 4주차 학습 데이터,확보 완료,AI Hub 상담 음성 원본 conversation train_D60 / J91 / S00007727. 교육 학습지 신규 등록 상담.
S011,AIHUB(train_D60 / J91 / S00007728),https://www.aihub.or.kr/aihubdata/data/view.do?dataSetSn=100,normal,1,41,true,8월 4주차 학습 데이터,확보 완료,AI Hub 상담 음성 원본 conversation train_D60 / J91 / S00007728. 교육 온라인 강의 가입·결제 정상 상담 hard-negative.
