conversation_id,source_id,source_item_id,data_type,assignee,status,utterance_count,notes
P0001,S001,S001,phishing,,validated,5,
P0002,S002,S002,phishing,,validated,3,
P0003,S003,S003-P0003,phishing,,validated,4,Fallback repository identifier; source-specific item ID unavailable
P0004,S003,S003-P0004,phishing,,validated,5,Fallback repository identifier; source-specific item ID unavailable
N0001,S004,S00007822,normal,,validated,36,
,S005,,phishing,,reserved,,Reserved in shared source registry; assignee/local conversation ID unknown
,S006,,phishing,,reserved,,Reserved in shared source registry; assignee/local conversation ID unknown
,S007,,phishing,,reserved,,Reserved in shared source registry; assignee/local conversation ID unknown
,S008,,phishing,,reserved,,Reserved in shared source registry; assignee/local conversation ID unknown
P0005,S009,S009-01,phishing,김해린,validated,13,Internal sub-conversation id: S009-01
P0006,S009,S009-02,phishing,김해린,validated,14,Internal sub-conversation id: S009-02
P0007,S009,S009-03,phishing,김해린,validated,9,Internal sub-conversation id: S009-03
P0008,S009,S009-04,phishing,김해린,validated,12,Internal sub-conversation id: S009-04
P0009,S009,S009-05,phishing,김해린,validated,8,Internal sub-conversation id: S009-05
P0010,S009,S009-06,phishing,김해린,validated,34,Internal sub-conversation id: S009-06
P0011,S009,S009-07,phishing,김해린,validated,50,Internal sub-conversation id: S009-07
P0012,S009,S009-08,phishing,김해린,validated,15,Internal sub-conversation id: S009-08
P0013,S009,S009-09,phishing,김해린,validated,20,Internal sub-conversation id: S009-09
P0014,S009,S009-10,phishing,김해린,validated,4,Internal sub-conversation id: S009-10
P0015,S009,S009-11,phishing,김해린,validated,46,Internal sub-conversation id: S009-11
P0016,S009,S009-12,phishing,김해린,validated,7,Internal sub-conversation id: S009-12
P0017,S009,S009-13,phishing,김해린,validated,4,Internal sub-conversation id: S009-13
P0018,S009,S009-14,phishing,김해린,validated,37,Internal sub-conversation id: S009-14
P0019,S009,S009-15,phishing,김해린,validated,12,Internal sub-conversation id: S009-15
P0020,S009,S009-16,phishing,김해린,validated,9,Internal sub-conversation id: S009-16
N0002,S015,S00007727,normal,김해린,validated,46,AI Hub original conversation; train_D60 / J91 / S00007727
N0003,S016,S00007728,normal,김해린,validated,41,AI Hub original conversation; train_D60 / J91 / S00007728
N0004,S017,S00007761,normal,김해린,validated,26,AI Hub original conversation; train_D60 / J91 / S00007761
